web-scraper-order,web-scraper-start-url,indice,Title,Release Date,Pages
"1653553987-325","https://listfist.com/list-of-one-piece-manga-chapters","325","The Franky Family","June 14, 2004","19"
"1653553987-196","https://listfist.com/list-of-one-piece-manga-chapters","196","1","August 27, 2001","19"
"1653553987-765","https://listfist.com/list-of-one-piece-manga-chapters","765","The Island of Fate: Minion","October 27, 2014","17"
"1653553987-180","https://listfist.com/list-of-one-piece-manga-chapters","180","Alabasta Animal Kingdom","April 23, 2001","19"
"1653553987-155","https://listfist.com/list-of-one-piece-manga-chapters","155","Sir Crocodile the ""Pirate""","October 7, 2000","19"
"1653553987-622","https://listfist.com/list-of-one-piece-manga-chapters","622","The Sun Pirates","April 25, 2011","19"
"1653553987-332","https://listfist.com/list-of-one-piece-manga-chapters","332","Luffy vs. Usopp","August 9, 2004","19"
"1653553987-123","https://listfist.com/list-of-one-piece-manga-chapters","123","Luffy vs. Mr. 3","February 14, 2000","19"
"1653553987-522","https://listfist.com/list-of-one-piece-manga-chapters","522","Fatal Disease","November 17, 2008","19"
"1653553987-165","https://listfist.com/list-of-one-piece-manga-chapters","165","Plan: Utopia","December 18, 2000","18"
"1653553987-689","https://listfist.com/list-of-one-piece-manga-chapters","689","A Seemingly Non-Existent Island","November 26, 2012","19"
"1653553987-925","https://listfist.com/list-of-one-piece-manga-chapters","925","The Blank","November 26, 2018","17"
"1653553987-699","https://listfist.com/list-of-one-piece-manga-chapters","699","Morning Paper","February 25, 2013","19"
"1653553987-418","https://listfist.com/list-of-one-piece-manga-chapters","418","Luffy vs. Rob Lucci","July 10, 2006","19"
"1653553987-637","https://listfist.com/list-of-one-piece-manga-chapters","637","The Ancient Ark","September 5, 2011","19"
"1653553987-118","https://listfist.com/list-of-one-piece-manga-chapters","118","Someone's Here","January 3, 2000","19"
"1653553987-983","https://listfist.com/list-of-one-piece-manga-chapters","983","Thunder","July 22, 2020","17"
"1653553987-790","https://listfist.com/list-of-one-piece-manga-chapters","790","Heaven and Earth","June 22, 2015","19"
"1653553987-722","https://listfist.com/list-of-one-piece-manga-chapters","722","Royal Bloodlines","September 30, 2013","19"
"1653553987-533","https://listfist.com/list-of-one-piece-manga-chapters","533","Level 4 Inferno Hell","February 23, 2009","19"
"1653553987-657","https://listfist.com/list-of-one-piece-manga-chapters","657","Severed Head","February 20, 2012","17"
"1653553987-125","https://listfist.com/list-of-one-piece-manga-chapters","125","Candle Champion","February 28, 2000","19"
"1653553987-492","https://listfist.com/list-of-one-piece-manga-chapters","492","Iron Mask Duval","March 17, 2008","19"
"1653553987-189","https://listfist.com/list-of-one-piece-manga-chapters","189","2","July 2, 2001","19"
"1653553987-290","https://listfist.com/list-of-one-piece-manga-chapters","290","The Light of Shandora","September 8, 2003","19"
"1653553987-812","https://listfist.com/list-of-one-piece-manga-chapters","812","Capone ""Gang"" Bege","January 18, 2016","17"
"1653553987-897","https://listfist.com/list-of-one-piece-manga-chapters","897","Pekoms's Cacao Island Esca","March 12, 2018","17"
"1653553987-396","https://listfist.com/list-of-one-piece-manga-chapters","396","Saul","January 23, 2006","19"
"1653553987-75","https://listfist.com/list-of-one-piece-manga-chapters","75","Sea Charts and Fishman","February 8, 1999","19"
"1653553987-606","https://listfist.com/list-of-one-piece-manga-chapters","606","Adventure in the Ocean Depths","December 6, 2010","17"
"1653553987-481","https://listfist.com/list-of-one-piece-manga-chapters","481","Shadow's Asgard","December 10, 2007","19"
"1653553987-542","https://listfist.com/list-of-one-piece-manga-chapters","542","Another Incident to Be Told","May 18, 2009","19"
"1653553987-444","https://listfist.com/list-of-one-piece-manga-chapters","444","Adventure on the Ghost Island","February 10, 2007","19"
"1653553987-209","https://listfist.com/list-of-one-piece-manga-chapters","209","I Will Surpass You","November 26, 2001","19"
"1653553987-780","https://listfist.com/list-of-one-piece-manga-chapters","780","The Curse of Heart","March 23, 2015","15"
"1653553987-885","https://listfist.com/list-of-one-piece-manga-chapters","885","It's Brûlée!!!","November 13, 2017","17"
"1653553987-653","https://listfist.com/list-of-one-piece-manga-chapters","653","The Hero's Hat","January 23, 2012","19"
"1653553987-648","https://listfist.com/list-of-one-piece-manga-chapters","648","The Path Towards the Sun","December 5, 2011","19"
"1653553987-292","https://listfist.com/list-of-one-piece-manga-chapters","292","Meeting a Broken Moon Through the Clouds","September 22, 2003","19"
"1653553987-800","https://listfist.com/list-of-one-piece-manga-chapters","800","Followers' Sake Cups","September 19, 2015","17"
"1653553987-311","https://listfist.com/list-of-one-piece-manga-chapters","311","Rough Game","February 23, 2004","19"
"1653553987-415","https://listfist.com/list-of-one-piece-manga-chapters","415","Heat Up","June 19, 2006","19"
"1653553987-928","https://listfist.com/list-of-one-piece-manga-chapters","928","The Oiran Komurasaki Takes the Stage","December 22, 2018","17"
"1653553987-1024","https://listfist.com/list-of-one-piece-manga-chapters","1024","Absol Absolved!","September 6, 2021","19"
"1653553987-963","https://listfist.com/list-of-one-piece-manga-chapters","963","Becoming Samurai","November 25, 2019","17"
"1653553987-605","https://listfist.com/list-of-one-piece-manga-chapters","605","The Kraken and the Pirates","November 29, 2010","19"
"1653553987-143","https://listfist.com/list-of-one-piece-manga-chapters","143","Unskilled","July 10, 2000","19"
"1653553987-401","https://listfist.com/list-of-one-piece-manga-chapters","401","Pirates vs. CP9","February 27, 2006","19"
"1653553987-1020","https://listfist.com/list-of-one-piece-manga-chapters","1020","Robin vs. Black Maria","August 2, 2021","17"
"1653553987-391","https://listfist.com/list-of-one-piece-manga-chapters","391","The Girl Called ""Devil""","November 28, 2005","19"
"1653553987-365","https://listfist.com/list-of-one-piece-manga-chapters","365","Rocketman!!","May 9, 2005","19"
"1653553987-257","https://listfist.com/list-of-one-piece-manga-chapters","257","Dial Battle","December 9, 2002","19"
"1653553987-295","https://listfist.com/list-of-one-piece-manga-chapters","295","Giant Jack","October 11, 2003","19"
"1653553987-453","https://listfist.com/list-of-one-piece-manga-chapters","453","Cloudy With a Small Chance of Bone","April 23, 2007","19"
"1653553987-479","https://listfist.com/list-of-one-piece-manga-chapters","479","Warrior of Hope","November 19, 2007","19"
"1653553987-214","https://listfist.com/list-of-one-piece-manga-chapters","214","Plan to Escape from the Kingdom of Sand","January 7, 2002","19"
"1653553987-28","https://listfist.com/list-of-one-piece-manga-chapters","28","Crescent Moon","February 16, 1998","19"
"1653553987-110","https://listfist.com/list-of-one-piece-manga-chapters","110","The Night Will Not End","October 25, 1999","19"
"1653553987-216","https://listfist.com/list-of-one-piece-manga-chapters","216","Vivi's Adventure","January 28, 2002","19"
"1653553987-594","https://listfist.com/list-of-one-piece-manga-chapters","594","Message","August 2, 2010","19"
"1653553987-230","https://listfist.com/list-of-one-piece-manga-chapters","230","Find the South Bird!!","May 20, 2002","19"
"1653553987-343","https://listfist.com/list-of-one-piece-manga-chapters","343","Cipher Pol No. 9","November 1, 2004","19"
"1653553987-616","https://listfist.com/list-of-one-piece-manga-chapters","616","Anniversary of Revenge","February 28, 2011","17"
"1653553987-1016","https://listfist.com/list-of-one-piece-manga-chapters","1016","This is O-Tama!!","June 14, 2021","15"
"1653553987-803","https://listfist.com/list-of-one-piece-manga-chapters","803","Elephant Climbing","October 10, 2015","13"
"1653553987-437","https://listfist.com/list-of-one-piece-manga-chapters","437","Naked But Great","December 11, 2006","19"
"1653553987-886","https://listfist.com/list-of-one-piece-manga-chapters","886","Way of Life","November 27, 2017","19"
"1653553987-945","https://listfist.com/list-of-one-piece-manga-chapters","945","O-Lin","June 10, 2019","19"
"1653553987-379","https://listfist.com/list-of-one-piece-manga-chapters","379","Dōriki","August 29, 2005","19"
"1653553987-466","https://listfist.com/list-of-one-piece-manga-chapters","466","Conclusion","August 6, 2007","19"
"1653553987-151","https://listfist.com/list-of-one-piece-manga-chapters","151","Drum Skies","September 11, 2000","19"
"1653553987-37","https://listfist.com/list-of-one-piece-manga-chapters","37","The Pirate, ""Kuro of a Hundred Plans""","April 20, 1998","19"
"1653553987-701","https://listfist.com/list-of-one-piece-manga-chapters","701","Adventure in the Country of Love, Passion, and Toys","March 11, 2013","19"
"1653553987-846","https://listfist.com/list-of-one-piece-manga-chapters","846","Tamago's Security","November 21, 2016","17"
"1653553987-838","https://listfist.com/list-of-one-piece-manga-chapters","838","Choniki","September 5, 2016","17"
"1653553987-532","https://listfist.com/list-of-one-piece-manga-chapters","532","Jailer Beast Minotaurus","February 16, 2009","19"
"1653553987-961","https://listfist.com/list-of-one-piece-manga-chapters","961","The Mountain God Incident","November 2, 2019","17"
"1653553987-598","https://listfist.com/list-of-one-piece-manga-chapters","598","2 Years Later","October 4, 2010","24"
"1653553987-781","https://listfist.com/list-of-one-piece-manga-chapters","781","Long-Cherished Desire","March 30, 2015","19"
"1653553987-289","https://listfist.com/list-of-one-piece-manga-chapters","289","Full Moon","September 1, 2003","21"
"1653553987-473","https://listfist.com/list-of-one-piece-manga-chapters","473","Royal Shichibukai, Bartholomew Kuma Appears","October 6, 2007","19"
"1653553987-814","https://listfist.com/list-of-one-piece-manga-chapters","814","Let's Go See Master Nekomamushi","February 1, 2016","17"
"1653553987-493","https://listfist.com/list-of-one-piece-manga-chapters","493","You Know","March 24, 2008","19"
"1653553987-22","https://listfist.com/list-of-one-piece-manga-chapters","22","You're the Rare Breed","January 5, 1998","29"
"1653553987-461","https://listfist.com/list-of-one-piece-manga-chapters","461","Ghost Buster","July 2, 2007","19"
"1653553987-563","https://listfist.com/list-of-one-piece-manga-chapters","563","One Heart, One Man","November 9, 2009","17"
"1653553987-254","https://listfist.com/list-of-one-piece-manga-chapters","254","Aubade","November 18, 2002","19"
"1653553987-88","https://listfist.com/list-of-one-piece-manga-chapters","88","Die!!!","May 17, 1999","19"
"1653553987-270","https://listfist.com/list-of-one-piece-manga-chapters","270","Serenade","March 31, 2003","19"
"1653553987-472","https://listfist.com/list-of-one-piece-manga-chapters","472","Down","October 1, 2007","19"
"1653553987-827","https://listfist.com/list-of-one-piece-manga-chapters","827","Totto Land","May 30, 2016","17"
"1653553987-447","https://listfist.com/list-of-one-piece-manga-chapters","447","Surprise Zombie","March 5, 2007","19"
"1653553987-962","https://listfist.com/list-of-one-piece-manga-chapters","962","The Daimyo and His Retainers","November 18, 2019","13"
"1653553987-566","https://listfist.com/list-of-one-piece-manga-chapters","566","Assault","December 7, 2009","19"
"1653553987-235","https://listfist.com/list-of-one-piece-manga-chapters","235","Knock Up Stream","June 24, 2002","19"
"1653553987-1046","https://listfist.com/list-of-one-piece-manga-chapters","1046","Raizo","April 11, 2022","17"
"1653553987-374","https://listfist.com/list-of-one-piece-manga-chapters","374","Struggle","July 16, 2005","19"
"1653553987-998","https://listfist.com/list-of-one-piece-manga-chapters","998","Ancient Types","December 14, 2020","17"
"1653553987-159","https://listfist.com/list-of-one-piece-manga-chapters","159","Come On","November 6, 2000","19"
"1653553987-128","https://listfist.com/list-of-one-piece-manga-chapters","128","Pride (Pirate Flag)","March 18, 2000","20"
"1653553987-441","https://listfist.com/list-of-one-piece-manga-chapters","441","Duel on Banaro Island","January 22, 2007","19"
"1653553987-685","https://listfist.com/list-of-one-piece-manga-chapters","685","My Name is Momonosuke!!","October 22, 2012","19"
"1653553987-240","https://listfist.com/list-of-one-piece-manga-chapters","240","Dial Energy","July 29, 2002","17"
"1653553987-221","https://listfist.com/list-of-one-piece-manga-chapters","221","Monsters","March 11, 2002","19"
"1653553987-618","https://listfist.com/list-of-one-piece-manga-chapters","618","Proposal","March 19, 2011","19"
"1653553987-930","https://listfist.com/list-of-one-piece-manga-chapters","930","Ebisu Town","January 21, 2019","17"
"1653553987-724","https://listfist.com/list-of-one-piece-manga-chapters","724","Law's Strategy","October 12, 2013","19"
"1653553987-147","https://listfist.com/list-of-one-piece-manga-chapters","147","Downright Lie","August 7, 2000","19"
"1653553987-672","https://listfist.com/list-of-one-piece-manga-chapters","672","My Name Is Kin'emon!!","July 2, 2012","19"
"1653553987-445","https://listfist.com/list-of-one-piece-manga-chapters","445","The Zombie","February 19, 2007","19"
"1653553987-336","https://listfist.com/list-of-one-piece-manga-chapters","336","Luffy vs. Franky","September 13, 2004","19"
"1653553987-710","https://listfist.com/list-of-one-piece-manga-chapters","710","To Green Bit","June 10, 2013","19"
"1653553987-370","https://listfist.com/list-of-one-piece-manga-chapters","370","You're Not Alone","June 13, 2005","19"
"1653553987-15","https://listfist.com/list-of-one-piece-manga-chapters","15","Gong","November 1, 1997","19"
"1653553987-186","https://listfist.com/list-of-one-piece-manga-chapters","186","4","June 11, 2001","19"
"1653553987-934","https://listfist.com/list-of-one-piece-manga-chapters","934","Hyogoro of the Flower","February 25, 2019","15"
"1653553987-867","https://listfist.com/list-of-one-piece-manga-chapters","867","Happy Birthday","June 5, 2017","17"
"1653553987-978","https://listfist.com/list-of-one-piece-manga-chapters","978","Tobiroppo Introduction","April 27, 2020","17"
"1653553987-354","https://listfist.com/list-of-one-piece-manga-chapters","354","Sea Train","February 7, 2005","19"
"1653553987-873","https://listfist.com/list-of-one-piece-manga-chapters","873","Trapped Like Sweets in a Cage","July 24, 2017","17"
"1653553987-518","https://listfist.com/list-of-one-piece-manga-chapters","518","The Arena","October 11, 2008","19"
"1653553987-80","https://listfist.com/list-of-one-piece-manga-chapters","80","A Crime Is a Crime","March 15, 1999","19"
"1653553987-387","https://listfist.com/list-of-one-piece-manga-chapters","387","Gear","October 31, 2005","19"
"1653553987-183","https://listfist.com/list-of-one-piece-manga-chapters","183","Commander Carue","May 21, 2001","19"
"1653553987-1014","https://listfist.com/list-of-one-piece-manga-chapters","1014","Life's Lousy Actor","May 31, 2021","17"
"1653553987-404","https://listfist.com/list-of-one-piece-manga-chapters","404","Franky vs. Fukuro","March 20, 2006","19"
"1653553987-412","https://listfist.com/list-of-one-piece-manga-chapters","412","The Chance Has Ended","May 29, 2006","19"
"1653553987-965","https://listfist.com/list-of-one-piece-manga-chapters","965","The Kurozumi Family Conspiracy","December 16, 2019","17"
"1653553987-679","https://listfist.com/list-of-one-piece-manga-chapters","679","The Spirit of G-5","September 3, 2012","19"
"1653553987-894","https://listfist.com/list-of-one-piece-manga-chapters","894","12:05","February 10, 2018","17"
"1653553987-786","https://listfist.com/list-of-one-piece-manga-chapters","786","Gatz","May 18, 2015","17"
"1653553987-956","https://listfist.com/list-of-one-piece-manga-chapters","956","Big News","September 21, 2019","17"
"1653553987-715","https://listfist.com/list-of-one-piece-manga-chapters","715","Closely Contested C Block","July 22, 2013","19"
"1653553987-294","https://listfist.com/list-of-one-piece-manga-chapters","294","Raigoh","October 6, 2003","19"
"1653553987-559","https://listfist.com/list-of-one-piece-manga-chapters","559","Karma","October 5, 2009","17"
"1653553987-612","https://listfist.com/list-of-one-piece-manga-chapters","612","Brought by the Shark They Saved","January 31, 2011","19"
"1653553987-737","https://listfist.com/list-of-one-piece-manga-chapters","737","Officer Tower","February 10, 2014","19"
"1653553987-474","https://listfist.com/list-of-one-piece-manga-chapters","474","Gotta Do It!!!","October 15, 2007","19"
"1653553987-512","https://listfist.com/list-of-one-piece-manga-chapters","512","Zoro Lost","September 1, 2008","19"
"1653553987-898","https://listfist.com/list-of-one-piece-manga-chapters","898","We'll Definitely Return","March 19, 2018","17"
"1653553987-31","https://listfist.com/list-of-one-piece-manga-chapters","31","Truth","March 9, 1998","19"
"1653553987-957","https://listfist.com/list-of-one-piece-manga-chapters","957","Ultimate","September 30, 2019","19"
"1653553987-629","https://listfist.com/list-of-one-piece-manga-chapters","629","The Former Shichibukai Who Stands in the Way","June 27, 2011","19"
"1653553987-72","https://listfist.com/list-of-one-piece-manga-chapters","72","Appropriate","January 18, 1999","19"
"1653553987-805","https://listfist.com/list-of-one-piece-manga-chapters","805","The Mink Tribe","November 2, 2015","17"
"1653553987-916","https://listfist.com/list-of-one-piece-manga-chapters","916","Wano Country Grand Sumo Tournament","September 3, 2018","19"
"1653553987-647","https://listfist.com/list-of-one-piece-manga-chapters","647","Stop, Noah!","November 28, 2011","19"
"1653553987-613","https://listfist.com/list-of-one-piece-manga-chapters","613","The Mermaid Princess in Hard-Shell Tower","February 7, 2011","17"
"1653553987-116","https://listfist.com/list-of-one-piece-manga-chapters","116","Huge","December 13, 1999","19"
"1653553987-347","https://listfist.com/list-of-one-piece-manga-chapters","347","Rokushiki","December 6, 2004","19"
"1653553987-659","https://listfist.com/list-of-one-piece-manga-chapters","659","About My Torso","March 12, 2012","19"
"1653553987-913","https://listfist.com/list-of-one-piece-manga-chapters","913","Tsuru Returns the Favor","August 6, 2018","17"
"1653553987-534","https://listfist.com/list-of-one-piece-manga-chapters","534","Chief Warden Magellan vs. Pirate Luffy","March 9, 2009","19"
"1653553987-185","https://listfist.com/list-of-one-piece-manga-chapters","185","Wow, That's Nice","June 4, 2001","19"
"1653553987-856","https://listfist.com/list-of-one-piece-manga-chapters","856","Liar","February 20, 2017","17"
"1653553987-907","https://listfist.com/list-of-one-piece-manga-chapters","907","The Empty Throne","June 11, 2018","17"
"1653553987-359","https://listfist.com/list-of-one-piece-manga-chapters","359","Bingo","March 19, 2005","19"
"1653553987-463","https://listfist.com/list-of-one-piece-manga-chapters","463","Pirate Sanji vs. Mysterious Absalom","July 14, 2007","19"
"1653553987-707","https://listfist.com/list-of-one-piece-manga-chapters","707","B Block","April 27, 2013","17"
"1653553987-427","https://listfist.com/list-of-one-piece-manga-chapters","427","It's Not Like It's Hell Here","September 16, 2006","19"
"1653553987-258","https://listfist.com/list-of-one-piece-manga-chapters","258","Several Ways South","December 16, 2002","19"
"1653553987-870","https://listfist.com/list-of-one-piece-manga-chapters","870","Parting","July 3, 2017","17"
"1653553987-377","https://listfist.com/list-of-one-piece-manga-chapters","377","Great Battle on the Judiciary Island!!","August 8, 2005","19"
"1653553987-207","https://listfist.com/list-of-one-piece-manga-chapters","207","Nightmare","November 12, 2001","19"
"1653553987-717","https://listfist.com/list-of-one-piece-manga-chapters","717","The Forgotten of Dressrosa","August 12, 2013","19"
"1653553987-494","https://listfist.com/list-of-one-piece-manga-chapters","494","Duval's Tragedy","March 31, 2008","19"
"1653553987-97","https://listfist.com/list-of-one-piece-manga-chapters","97","Sandai Kitetsu","July 19, 1999","19"
"1653553987-471","https://listfist.com/list-of-one-piece-manga-chapters","471","My Friend","September 22, 2007","19"
"1653553987-920","https://listfist.com/list-of-one-piece-manga-chapters","920","For Love of Oden","October 6, 2018","17"
"1653553987-468","https://listfist.com/list-of-one-piece-manga-chapters","468","Pirate Chopper vs. Mysterious Hogback","August 27, 2007","19"
"1653553987-850","https://listfist.com/list-of-one-piece-manga-chapters","850","A Ray of Light","December 26, 2016","17"
"1653553987-610","https://listfist.com/list-of-one-piece-manga-chapters","610","Fortune-Teller Madame Shyarly","January 17, 2011","15"
"1653553987-860","https://listfist.com/list-of-one-piece-manga-chapters","860","10:00 Opening of the Banquet","March 27, 2017","17"
"1653553987-250","https://listfist.com/list-of-one-piece-manga-chapters","250","Ball Dragon","October 21, 2002","19"
"1653553987-264","https://listfist.com/list-of-one-piece-manga-chapters","264","Kamakiri the Warrior vs. God Enel","February 10, 2003","19"
"1653553987-417","https://listfist.com/list-of-one-piece-manga-chapters","417","Asura","July 3, 2006","19"
"1653553987-948","https://listfist.com/list-of-one-piece-manga-chapters","948","Kawamatsu the Kappa Takes the Stage","July 8, 2019","17"
"1653553987-302","https://listfist.com/list-of-one-piece-manga-chapters","302","Finale","December 8, 2003","19"
"1653553987-346","https://listfist.com/list-of-one-piece-manga-chapters","346","The 9th Justice","November 29, 2004","19"
"1653553987-226","https://listfist.com/list-of-one-piece-manga-chapters","226","Shoujou King of the Ocean Floor Searches","April 15, 2002","19"
"1653553987-587","https://listfist.com/list-of-one-piece-manga-chapters","587","I Will Not Run!","June 7, 2010","19"
"1653553987-1040","https://listfist.com/list-of-one-piece-manga-chapters","1040","Wasted Words on Young Ears","February 14, 2022","15"
"1653553987-443","https://listfist.com/list-of-one-piece-manga-chapters","443","Thriller Bark","February 5, 2007","19"
"1653553987-36","https://listfist.com/list-of-one-piece-manga-chapters","36","Follow Them!!","April 13, 1998","21"
"1653553987-280","https://listfist.com/list-of-one-piece-manga-chapters","280","Surfacing","June 16, 2003","19"
"1653553987-83","https://listfist.com/list-of-one-piece-manga-chapters","83","Luffy In Black","April 5, 1999","19"
"1653553987-879","https://listfist.com/list-of-one-piece-manga-chapters","879","One of Big Mom's ""3 Sweet Commanders"", Katakuri","September 25, 2017","17"
"1653553987-994","https://listfist.com/list-of-one-piece-manga-chapters","994","My Other Name is Yamato","November 2, 2020","17"
"1653553987-34","https://listfist.com/list-of-one-piece-manga-chapters","34","Klahadore the Butler","March 30, 1998","19"
"1653553987-704","https://listfist.com/list-of-one-piece-manga-chapters","704","Lucy and the Statue of Kyros","April 8, 2013","19"
"1653553987-225","https://listfist.com/list-of-one-piece-manga-chapters","225","A Man's Dream","April 8, 2002","19"
"1653553987-26","https://listfist.com/list-of-one-piece-manga-chapters","26","Captain Kuro's Plan","February 2, 1998","19"
"1653553987-619","https://listfist.com/list-of-one-piece-manga-chapters","619","At the Sea Forest","April 4, 2011","17"
"1653553987-153","https://listfist.com/list-of-one-piece-manga-chapters","153","Hiluluk's Sakura","September 25, 2000","19"
"1653553987-989","https://listfist.com/list-of-one-piece-manga-chapters","989","I Can't Imagine Losing","September 7, 2020","17"
"1653553987-33","https://listfist.com/list-of-one-piece-manga-chapters","33","The Silent Man","March 23, 1998","19"
"1653553987-941","https://listfist.com/list-of-one-piece-manga-chapters","941","Ebisu Town's Most Beloved","April 27, 2019","17"
"1653553987-875","https://listfist.com/list-of-one-piece-manga-chapters","875","A Woman's Honor","August 21, 2017","17"
"1653553987-876","https://listfist.com/list-of-one-piece-manga-chapters","876","Pudding Coincidentally Appears!!","August 28, 2017","17"
"1653553987-328","https://listfist.com/list-of-one-piece-manga-chapters","328","The Pirate Kidnapping Incident","July 12, 2004","19"
"1653553987-643","https://listfist.com/list-of-one-piece-manga-chapters","643","Phantom","October 24, 2011","19"
"1653553987-581","https://listfist.com/list-of-one-piece-manga-chapters","581","Creeping Future","April 19, 2010","17"
"1653553987-156","https://listfist.com/list-of-one-piece-manga-chapters","156","Okama Weather","October 16, 2000","19"
"1653553987-329","https://listfist.com/list-of-one-piece-manga-chapters","329","My Name is ""Franky""","July 17, 2004","19"
"1653553987-1009","https://listfist.com/list-of-one-piece-manga-chapters","1009","Hell","April 5, 2021","19"
"1653553987-1005","https://listfist.com/list-of-one-piece-manga-chapters","1005","Devil Child","March 1, 2021","17"
"1653553987-980","https://listfist.com/list-of-one-piece-manga-chapters","980","Takatau Music","May 25, 2020","17"
"1653553987-633","https://listfist.com/list-of-one-piece-manga-chapters","633","Friend or Foe","August 1, 2011","19"
"1653553987-755","https://listfist.com/list-of-one-piece-manga-chapters","755","World of Men","August 4, 2014","17"
"1653553987-402","https://listfist.com/list-of-one-piece-manga-chapters","402","No. 2 Handcuffs","March 6, 2006","19"
"1653553987-316","https://listfist.com/list-of-one-piece-manga-chapters","316","Brother Soul","March 29, 2004","19"
"1653553987-106","https://listfist.com/list-of-one-piece-manga-chapters","106","The Town of Celebration","September 27, 1999","19"
"1653553987-145","https://listfist.com/list-of-one-piece-manga-chapters","145","Inherited Will","July 24, 2000","19"
"1653553987-281","https://listfist.com/list-of-one-piece-manga-chapters","281","Deathpiea","June 23, 2003","19"
"1653553987-338","https://listfist.com/list-of-one-piece-manga-chapters","338","Coup de Vent","September 27, 2004","19"
"1653553987-11","https://listfist.com/list-of-one-piece-manga-chapters","11","Take Flight","October 6, 1997","19"
"1653553987-845","https://listfist.com/list-of-one-piece-manga-chapters","845","Forces of Rage","November 7, 2016","17"
"1653553987-352","https://listfist.com/list-of-one-piece-manga-chapters","352","Tom's Workers","January 24, 2005","19"
"1653553987-583","https://listfist.com/list-of-one-piece-manga-chapters","583","Gray Terminal - The Final Destination of the Uncertainty","May 10, 2010","17"
"1653553987-652","https://listfist.com/list-of-one-piece-manga-chapters","652","Grim Premonitions","January 16, 2012","17"
"1653553987-260","https://listfist.com/list-of-one-piece-manga-chapters","260","Luffy the Pirate vs. Wiper the Berserker","January 6, 2003","17"
"1653553987-208","https://listfist.com/list-of-one-piece-manga-chapters","208","Guardian Spirits","November 19, 2001","19"
"1653553987-953","https://listfist.com/list-of-one-piece-manga-chapters","953","Once Upon a Fox","August 26, 2019","17"
"1653553987-470","https://listfist.com/list-of-one-piece-manga-chapters","470","Oars vs. the Straw Hat Crew","September 10, 2007","19"
"1653553987-467","https://listfist.com/list-of-one-piece-manga-chapters","467","Pirate Zoro vs. Samurai Ryuma","August 20, 2007","19"
"1653553987-1031","https://listfist.com/list-of-one-piece-manga-chapters","1031","Warrior of Science","November 8, 2021","19"
"1653553987-819","https://listfist.com/list-of-one-piece-manga-chapters","819","Momonosuke, Heir of the Kozuki Family","March 14, 2016","17"
"1653553987-640","https://listfist.com/list-of-one-piece-manga-chapters","640","Right Above Fishman Island","September 26, 2011","19"
"1653553987-340","https://listfist.com/list-of-one-piece-manga-chapters","340","The Woman Who Brings Darkness","October 9, 2004","19"
"1653553987-541","https://listfist.com/list-of-one-piece-manga-chapters","541","The Likes of Which It Has Never Seen","May 11, 2009","19"
"1653553987-210","https://listfist.com/list-of-one-piece-manga-chapters","210","0","December 3, 2001","17"
"1653553987-504","https://listfist.com/list-of-one-piece-manga-chapters","504","Pirate Frontline On The Move!!","June 23, 2008","19"
"1653553987-942","https://listfist.com/list-of-one-piece-manga-chapters","942","The Daimyo of Hakumai, Shimotsuki Yasuie","May 13, 2019","17"
"1653553987-607","https://listfist.com/list-of-one-piece-manga-chapters","607","10,000 Meters Under the Sea","December 13, 2010","17"
"1653553987-906","https://listfist.com/list-of-one-piece-manga-chapters","906","The Holy Land Mary Geoise","June 4, 2018","17"
"1653553987-1010","https://listfist.com/list-of-one-piece-manga-chapters","1010","Haoshoku","April 12, 2021","17"
"1653553987-269","https://listfist.com/list-of-one-piece-manga-chapters","269","Concerto","March 17, 2003","21"
"1653553987-217","https://listfist.com/list-of-one-piece-manga-chapters","217","Stowaway","February 4, 2002","19"
"1653553987-317","https://listfist.com/list-of-one-piece-manga-chapters","317","K.O.","April 12, 2004","21"
"1653553987-626","https://listfist.com/list-of-one-piece-manga-chapters","626","The Three Neptune Brothers","May 30, 2011","19"
"1653553987-946","https://listfist.com/list-of-one-piece-manga-chapters","946","Queen vs. O-Lin","June 24, 2019","17"
"1653553987-848","https://listfist.com/list-of-one-piece-manga-chapters","848","Goodbye","December 5, 2016","19"
"1653553987-646","https://listfist.com/list-of-one-piece-manga-chapters","646","Frog","November 21, 2011","19"
"1653553987-971","https://listfist.com/list-of-one-piece-manga-chapters","971","Boiled Alive","February 17, 2020","17"
"1653553987-364","https://listfist.com/list-of-one-piece-manga-chapters","364","Kokoro","April 25, 2005","19"
"1653553987-448","https://listfist.com/list-of-one-piece-manga-chapters","448","Moriah","March 12, 2007","19"
"1653553987-516","https://listfist.com/list-of-one-piece-manga-chapters","516","The Pirate Empress Boa Hancock","September 29, 2008","19"
"1653553987-496","https://listfist.com/list-of-one-piece-manga-chapters","496","The Yarukiman Mangrove","April 14, 2008","19"
"1653553987-285","https://listfist.com/list-of-one-piece-manga-chapters","285","Capriccio","July 19, 2003","19"
"1653553987-333","https://listfist.com/list-of-one-piece-manga-chapters","333","Captain","August 23, 2004","19"
"1653553987-747","https://listfist.com/list-of-one-piece-manga-chapters","747","Executive Officer Pica","May 19, 2014","19"
"1653553987-762","https://listfist.com/list-of-one-piece-manga-chapters","762","The White City","October 6, 2014","17"
"1653553987-823","https://listfist.com/list-of-one-piece-manga-chapters","823","A World Abuzz","April 18, 2016","17"
"1653553987-578","https://listfist.com/list-of-one-piece-manga-chapters","578","He Who Must Live to See a New Age","March 20, 2010","19"
