web-scraper-order,web-scraper-start-url,Vivre Card [source],Character,Birth Month,Birth Day,Age,Height in Meters,Blood Type
"1653321016-546","https://listfist.com/list-of-one-piece-vivre-cards","null","Stronger","(04) April","16","","",""
"1653321016-708","https://listfist.com/list-of-one-piece-vivre-cards","null","Shachi","(04) April","7","27","","X (A)"
"1653321016-920","https://listfist.com/list-of-one-piece-vivre-cards","null","Mocha","(06) June","28","9","6.92","S (O)"
"1653321016-596","https://listfist.com/list-of-one-piece-vivre-cards","null","Comil","(10) October","1","","",""
"1653321016-564","https://listfist.com/list-of-one-piece-vivre-cards","null","Wyper","(08) August","18","24","1.83","X (A)"
"1653321016-974","https://listfist.com/list-of-one-piece-vivre-cards","null","Giovanni","(07) July","20","30","2.26","S (O)"
"1653321016-503","https://listfist.com/list-of-one-piece-vivre-cards","null","Ho","","","","",""
"1653321016-734","https://listfist.com/list-of-one-piece-vivre-cards","null","Aphelandra","(08) August","1","","",""
"1653321016-1035","https://listfist.com/list-of-one-piece-vivre-cards","null","Jeep","","","","",""
"1653321016-352","https://listfist.com/list-of-one-piece-vivre-cards","null","Moodie","(11) November","17","","",""
"1653321016-939","https://listfist.com/list-of-one-piece-vivre-cards","null","Suleiman","(01) January","30","40","2.40","S (O)"
"1653321016-959","https://listfist.com/list-of-one-piece-vivre-cards","null","Trebol","(03) March","18","49","3.49","F (B)"
"1653321016-1102","https://listfist.com/list-of-one-piece-vivre-cards","null","Jujiro","","","","",""
"1653321016-888","https://listfist.com/list-of-one-piece-vivre-cards","null","Kinga","","","","",""
"1653321016-665","https://listfist.com/list-of-one-piece-vivre-cards","null","Jozu","(11) November","11","42","5.03","X (A)"
"1653321016-711","https://listfist.com/list-of-one-piece-vivre-cards","null","Marie","(11) November","2","","",""
"1653321016-1093","https://listfist.com/list-of-one-piece-vivre-cards","null","Kikipatsu","","","","",""
"1653321016-852","https://listfist.com/list-of-one-piece-vivre-cards","null","Ahho Desunen IX","","","","",""
"1653321016-480","https://listfist.com/list-of-one-piece-vivre-cards","null","Hasami","","","","",""
"1653321016-730","https://listfist.com/list-of-one-piece-vivre-cards","null","Candy","(06) June","14","","",""
"1653321016-326","https://listfist.com/list-of-one-piece-vivre-cards","null","Mohji","(10) October","1","29","1.97","S (O)"
"1653321016-702","https://listfist.com/list-of-one-piece-vivre-cards","null","X Drake","(10) October","24","33","2.33","X (A)"
"1653321016-361","https://listfist.com/list-of-one-piece-vivre-cards","null","Krieg","(09) September","19","44","2.43","XF (AB)"
"1653321016-1030","https://listfist.com/list-of-one-piece-vivre-cards","null","Mari","","","","",""
"1653321016-283","https://listfist.com/list-of-one-piece-vivre-cards","null","Nico Robin","(02) February","6","30","1.88","S (O)"
"1653321016-419","https://listfist.com/list-of-one-piece-vivre-cards","null","Brontosaurus","(11) November","19","","",""
"1653321016-333","https://listfist.com/list-of-one-piece-vivre-cards","null","Cocox","(02) February","19","","",""
"1653321016-890","https://listfist.com/list-of-one-piece-vivre-cards","null","Agsilly","","","","",""
"1653321016-318","https://listfist.com/list-of-one-piece-vivre-cards","null","Koushirou","(05) May","4","51","1.84","S (O)"
"1653321016-1065","https://listfist.com/list-of-one-piece-vivre-cards","null","Serizawa","","","","",""
"1653321016-508","https://listfist.com/list-of-one-piece-vivre-cards","null","Nefertari Titi","","","","",""
"1653321016-895","https://listfist.com/list-of-one-piece-vivre-cards","null","Manboshi","(03) March","30","20","4.73","S (O)"
"1653321016-1119","https://listfist.com/list-of-one-piece-vivre-cards","null","Sandayu","","","","",""
"1653321016-443","https://listfist.com/list-of-one-piece-vivre-cards","null","Isshi-20","","","","",""
"1653321016-1162","https://listfist.com/list-of-one-piece-vivre-cards","null","Yamato","(11) November","3","28","2.63","F (B)"
"1653321016-1081","https://listfist.com/list-of-one-piece-vivre-cards","null","Denjiro","(10) October","26","47","3.06","XF (AB)"
"1653321016-343","https://listfist.com/list-of-one-piece-vivre-cards","null","Jango","(12) December","28","29","2.07","S (O)"
"1653321016-342","https://listfist.com/list-of-one-piece-vivre-cards","null","Merry","(01) January","22","","",""
"1653321016-577","https://listfist.com/list-of-one-piece-vivre-cards","null","Hotori","(03) March","10","27","1.79","S (O)"
"1653321016-922","https://listfist.com/list-of-one-piece-vivre-cards","null","Caesar Clown","(04) April","9","40","3.09","X (A)"
"1653321016-858","https://listfist.com/list-of-one-piece-vivre-cards","null","Carrier Bat","","","","",""
"1653321016-808","https://listfist.com/list-of-one-piece-vivre-cards","null","Ronse","(06) June","2","","",""
"1653321016-1004","https://listfist.com/list-of-one-piece-vivre-cards","null","Zeus","(06) June","26","","2.32",""
"1653321016-1074","https://listfist.com/list-of-one-piece-vivre-cards","null","Kinbo","","","","",""
"1653321016-1095","https://listfist.com/list-of-one-piece-vivre-cards","null","Tori","","","","",""
"1653321016-720","https://listfist.com/list-of-one-piece-vivre-cards","null","Byron","(12) December","18","27","1.92",""
"1653321016-644","https://listfist.com/list-of-one-piece-vivre-cards","null","Spandam","(03) March","11","41","1.92","XF (AB)"
"1653321016-619","https://listfist.com/list-of-one-piece-vivre-cards","null","Pickles","(01) January","9","","",""
"1653321016-659","https://listfist.com/list-of-one-piece-vivre-cards","null","Spandine","(01) January","19","66","2.75","XF (AB)"
"1653321016-645","https://listfist.com/list-of-one-piece-vivre-cards","null","Jerry","(02) February","22","46","6.76","XF (AB)"
"1653321016-647","https://listfist.com/list-of-one-piece-vivre-cards","null","Wanze","(09) September","4","28","1.73","F (B)"
"1653321016-298","https://listfist.com/list-of-one-piece-vivre-cards","null","Mikio Itoo","(03) March","26","","",""
"1653321016-529","https://listfist.com/list-of-one-piece-vivre-cards","null","Jobo","","","","",""
"1653321016-446","https://listfist.com/list-of-one-piece-vivre-cards","null","Thalassa Lucas","(07) July","27","","",""
"1653321016-552","https://listfist.com/list-of-one-piece-vivre-cards","null","Speedy Shrimp","","","","",""
"1653321016-797","https://listfist.com/list-of-one-piece-vivre-cards","null","Vista","(02) February","5","47","3.28","X (A)"
"1653321016-452","https://listfist.com/list-of-one-piece-vivre-cards","null","Sea Cat","","","","",""
"1653321016-512","https://listfist.com/list-of-one-piece-vivre-cards","null","Roshio","(06) June","15","","",""
"1653321016-660","https://listfist.com/list-of-one-piece-vivre-cards","null","Nico Olvia","(02) February","6","33","1.86","S (O)"
"1653321016-573","https://listfist.com/list-of-one-piece-vivre-cards","null","Nola","(03) March","10","","200.00",""
"1653321016-727","https://listfist.com/list-of-one-piece-vivre-cards","null","PX-7","","","","6.89",""
"1653321016-527","https://listfist.com/list-of-one-piece-vivre-cards","null","Mont Blanc Cricket","(09) September","11","43","2.42","S (O)"
"1653321016-373","https://listfist.com/list-of-one-piece-vivre-cards","null","Chabo","(06) June","14","","",""
"1653321016-566","https://listfist.com/list-of-one-piece-vivre-cards","null","Braham","(10) October","10","24","1.79","X (A)"
"1653321016-1092","https://listfist.com/list-of-one-piece-vivre-cards","null","Pudos","","","","",""
"1653321016-749","https://listfist.com/list-of-one-piece-vivre-cards","null","Boa Sandersonia","(09) September","3","30","4.53","S (O)"
"1653321016-772","https://listfist.com/list-of-one-piece-vivre-cards","null","Manticore","","","","3.00",""
"1653321016-715","https://listfist.com/list-of-one-piece-vivre-cards","null","Wire","(07) July","18","","",""
"1653321016-803","https://listfist.com/list-of-one-piece-vivre-cards","null","Haruta","(02) February","4","","",""
"1653321016-415","https://listfist.com/list-of-one-piece-vivre-cards","null","Karoo","(11) November","8","16","1.50","F (B)"
"1653321016-626","https://listfist.com/list-of-one-piece-vivre-cards","null","Kuzan","(09) September","21","49","2.98","F (B)"
"1653321016-687","https://listfist.com/list-of-one-piece-vivre-cards","null","Motobaro","(08) August","19","","",""
"1653321016-989","https://listfist.com/list-of-one-piece-vivre-cards","null","Vinsmoke Judge","(05) May","12","56","2.72","S (O)"
"1653321016-362","https://listfist.com/list-of-one-piece-vivre-cards","null","Dracule Mihawk","(03) March","9","43","1.98","S (O)"
"1653321016-914","https://listfist.com/list-of-one-piece-vivre-cards","null","Koala","(10) October","25","23","1.60","F (B)"
"1653321016-533","https://listfist.com/list-of-one-piece-vivre-cards","null","Cancer","","","","",""
"1653321016-491","https://listfist.com/list-of-one-piece-vivre-cards","null","Sea Boar","","","","",""
"1653321016-901","https://listfist.com/list-of-one-piece-vivre-cards","null","Daruma","(07) July","8","30","1.22","F (B)"
"1653321016-323","https://listfist.com/list-of-one-piece-vivre-cards","null","Buggy","(08) August","8","39","1.92","F (B)"
"1653321016-279","https://listfist.com/list-of-one-piece-vivre-cards","null","Nami","(07) July","3","20","1.70","X (A)"
"1653321016-576","https://listfist.com/list-of-one-piece-vivre-cards","null","Kinderella","(01) January","20","","",""
"1653321016-907","https://listfist.com/list-of-one-piece-vivre-cards","null","Minister of the Left","(07) July","2","62","4.35","X (A)"
"1653321016-1064","https://listfist.com/list-of-one-piece-vivre-cards","null","Urashima","","","","",""
"1653321016-1109","https://listfist.com/list-of-one-piece-vivre-cards","null","Donannoyo","","","","",""
"1653321016-760","https://listfist.com/list-of-one-piece-vivre-cards","null","Shanba","(11) November","8","","",""
"1653321016-966","https://listfist.com/list-of-one-piece-vivre-cards","null","Bakkin","(04) April","12","76","0.68","S (O)"
"1653321016-786","https://listfist.com/list-of-one-piece-vivre-cards","null","Sakazuki","(08) August","16","55","3.06","F (B)"
"1653321016-719","https://listfist.com/list-of-one-piece-vivre-cards","null","Pascia","(02) February","21","22","",""
"1653321016-891","https://listfist.com/list-of-one-piece-vivre-cards","null","Julius","","","","",""
"1653321016-968","https://listfist.com/list-of-one-piece-vivre-cards","null","Wanda","(11) November","1","28","1.81","F (B)"
"1653321016-800","https://listfist.com/list-of-one-piece-vivre-cards","null","Rakuyo","(09) September","8","","",""
"1653321016-353","https://listfist.com/list-of-one-piece-vivre-cards","null","Zeff","(04) April","2","67","1.89","XF (AB)"
"1653321016-462","https://listfist.com/list-of-one-piece-vivre-cards","null","Kung-Fu Dugongs","","","","",""
"1653321016-440","https://listfist.com/list-of-one-piece-vivre-cards","null","Robson","","","","",""
"1653321016-579","https://listfist.com/list-of-one-piece-vivre-cards","null","Yotsubane","","","","",""
"1653321016-742","https://listfist.com/list-of-one-piece-vivre-cards","null","Yuda #2","(12) December","7","","",""
"1653321016-923","https://listfist.com/list-of-one-piece-vivre-cards","null","Rock (Yeti)","(12) December","11","25","42.50","S (O) RH-"
"1653321016-916","https://listfist.com/list-of-one-piece-vivre-cards","null","Pekoms","(04) April","11","27","2.32","S (O)"
"1653321016-909","https://listfist.com/list-of-one-piece-vivre-cards","null","Wadatsumi","(02) February","9","25","80.00","F (B)"
"1653321016-358","https://listfist.com/list-of-one-piece-vivre-cards","null","Gin","(04) April","7","27","1.86","S (O)"
"1653321016-442","https://listfist.com/list-of-one-piece-vivre-cards","null","Kuromarimo","(01) January","26","30","1.86","F (B)"
"1653321016-671","https://listfist.com/list-of-one-piece-vivre-cards","null","Absalom","(12) December","30","36","1.95","F (B)"
"1653321016-568","https://listfist.com/list-of-one-piece-vivre-cards","null","Klabautermann","","","","",""
"1653321016-957","https://listfist.com/list-of-one-piece-vivre-cards","null","Lao G","(10) October","7","70","1.57","F (B)"
"1653321016-1105","https://listfist.com/list-of-one-piece-vivre-cards","null","Dotaku","","","","",""
"1653321016-649","https://listfist.com/list-of-one-piece-vivre-cards","null","Jabra","(06) June","5","37","2.12","S (O)"
"1653321016-767","https://listfist.com/list-of-one-piece-vivre-cards","null","Jean Goen","(09) September","24","","",""
"1653321016-371","https://listfist.com/list-of-one-piece-vivre-cards","null","Arlong","(05) May","3","41","2.63","F (B)"
"1653321016-459","https://listfist.com/list-of-one-piece-vivre-cards","null","Daz Bonez","(01) January","1","31","2.12","F (B)"
"1653321016-327","https://listfist.com/list-of-one-piece-vivre-cards","null","Richie","(07) July","23","","2.00",""
"1653321016-674","https://listfist.com/list-of-one-piece-vivre-cards","null","Shimotsuki Ryuma","(11) November","6","47","1.79","XF (AB)"
"1653321016-1166","https://listfist.com/list-of-one-piece-vivre-cards","null","Juki","","","","",""
"1653321016-1099","https://listfist.com/list-of-one-piece-vivre-cards","null","Ukon","","","","",""
"1653321016-1032","https://listfist.com/list-of-one-piece-vivre-cards","null","Neggy","","","","",""
"1653321016-821","https://listfist.com/list-of-one-piece-vivre-cards","null","Delacuaji","(09) September","1","","",""
"1653321016-431","https://listfist.com/list-of-one-piece-vivre-cards","null","Wapol","(08) August","9","29","2.07","X (A)"
"1653321016-506","https://listfist.com/list-of-one-piece-vivre-cards","null","Shine","","","","",""
"1653321016-598","https://listfist.com/list-of-one-piece-vivre-cards","null","Aruyutayan V","","","","",""
"1653321016-789","https://listfist.com/list-of-one-piece-vivre-cards","null","Kinoko","","","","",""
"1653321016-276","https://listfist.com/list-of-one-piece-vivre-cards","null","My Card","","","","",""
"1653321016-985","https://listfist.com/list-of-one-piece-vivre-cards","null","Charlotte Linlin","(02) February","15","68","8.80","X (A)"
"1653321016-530","https://listfist.com/list-of-one-piece-vivre-cards","null","Master","","","","",""
"1653321016-501","https://listfist.com/list-of-one-piece-vivre-cards","null","Hina","(03) March","3","34","1.81","F (B)"
"1653321016-1066","https://listfist.com/list-of-one-piece-vivre-cards","null","Wakasa","","","","",""
"1653321016-691","https://listfist.com/list-of-one-piece-vivre-cards","null","Shalria","(03) March","29","17","1.78","XF (AB)"
"1653321016-984","https://listfist.com/list-of-one-piece-vivre-cards","null","Vinsmoke Reiju","(11) November","30","24","1.73","F (B)"
"1653321016-820","https://listfist.com/list-of-one-piece-vivre-cards","null","A O","(01) January","15","","",""
"1653321016-571","https://listfist.com/list-of-one-piece-vivre-cards","null","Yama","(10) October","3","45","3.66","F (B)"
"1653321016-828","https://listfist.com/list-of-one-piece-vivre-cards","null","Pavlik","","","","",""
"1653321016-309","https://listfist.com/list-of-one-piece-vivre-cards","null","Poppoko","(09) September","2","","",""
"1653321016-427","https://listfist.com/list-of-one-piece-vivre-cards","null","Mr. 11","(11) November","21","","",""
"1653321016-537","https://listfist.com/list-of-one-piece-vivre-cards","null","Bartholomew Kuma","(02) February","9","47","6.89","X (A)"
"1653321016-902","https://listfist.com/list-of-one-piece-vivre-cards","null","Ikaros Much","(01) January","13","30","4.99","XF (AB)"
"1653321016-973","https://listfist.com/list-of-one-piece-vivre-cards","null","Inuarashi","(10) October","11","40","5.11","X (A)"
"1653321016-433","https://listfist.com/list-of-one-piece-vivre-cards","null","Negikuma Maria","(11) November","14","","",""
"1653321016-965","https://listfist.com/list-of-one-piece-vivre-cards","null","Edward Weevil","(12) December","10","35","6.80","S (O)"
"1653321016-806","https://listfist.com/list-of-one-piece-vivre-cards","null","Atmos","(03) March","19","","",""
"1653321016-477","https://listfist.com/list-of-one-piece-vivre-cards","null","Chaka","(04) April","26","41","2.13","S (O)"
"1653321016-933","https://listfist.com/list-of-one-piece-vivre-cards","null","Kyros","(09) September","22","44","2.98","S (O)"
"1653321016-930","https://listfist.com/list-of-one-piece-vivre-cards","null","Buffalo","(04) April","8","30","6.96","F (B)"
"1653321016-1000","https://listfist.com/list-of-one-piece-vivre-cards","null","Stussy","(04) April","24","","1.79","S (O)"
"1653321016-793","https://listfist.com/list-of-one-piece-vivre-cards","null","Usakkov","","","","",""
"1653321016-795","https://listfist.com/list-of-one-piece-vivre-cards","null","Akehende","","","","",""
"1653321016-1075","https://listfist.com/list-of-one-piece-vivre-cards","null","Yame","","","","",""
"1653321016-390","https://listfist.com/list-of-one-piece-vivre-cards","null","Brannew","(09) September","3","56","1.90","X (A)"
"1653321016-634","https://listfist.com/list-of-one-piece-vivre-cards","null","Kalifa","(04) April","23","27","1.85","XF (AB)"
"1653321016-1104","https://listfist.com/list-of-one-piece-vivre-cards","null","Kojuro","","","","",""
"1653321016-1118","https://listfist.com/list-of-one-piece-vivre-cards","null","Bongo","","","","",""
"1653321016-426","https://listfist.com/list-of-one-piece-vivre-cards","null","BananaCroc","","","","30.00",""
"1653321016-911","https://listfist.com/list-of-one-piece-vivre-cards","null","Den","(10) October","10","62","4.35","X (A)"
"1653321016-539","https://listfist.com/list-of-one-piece-vivre-cards","null","Rockstar","(06) June","9","","",""
"1653321016-607","https://listfist.com/list-of-one-piece-vivre-cards","null","Shelly","(10) October","31","","",""
"1653321016-889","https://listfist.com/list-of-one-piece-vivre-cards","null","Colscon","","","","",""
"1653321016-1069","https://listfist.com/list-of-one-piece-vivre-cards","null","Hold'em","(08) August","21","30","3.12","F (B)"
"1653321016-589","https://listfist.com/list-of-one-piece-vivre-cards","null","Chiya","","","","",""
"1653321016-857","https://listfist.com/list-of-one-piece-vivre-cards","null","Bunny Joe","","","","",""
"1653321016-322","https://listfist.com/list-of-one-piece-vivre-cards","null","Superhuman Domingo","(02) February","19","","",""
"1653321016-1161","https://listfist.com/list-of-one-piece-vivre-cards","null","Hatcha","(10) October","8","188","66.80","XF (AB)"
"1653321016-1031","https://listfist.com/list-of-one-piece-vivre-cards","null","Sauce","","","","",""
"1653321016-1011","https://listfist.com/list-of-one-piece-vivre-cards","null","Gerd","(02) February","25","75","17.00","S (O)"
"1653321016-386","https://listfist.com/list-of-one-piece-vivre-cards","null","Mummy Mee","(11) November","21","","",""
"1653321016-962","https://listfist.com/list-of-one-piece-vivre-cards","null","Donquixote Rosinante","(07) July","15","26","2.93","S (O)"
"1653321016-898","https://listfist.com/list-of-one-piece-vivre-cards","null","Hody Jones","(04) April","14","30","3.31","F (B)"
"1653321016-1111","https://listfist.com/list-of-one-piece-vivre-cards","null","Kuni","","","","",""
"1653321016-641","https://listfist.com/list-of-one-piece-vivre-cards","null","Tilestone","(01) January","6","35","2.55","S (O)"
"1653321016-609","https://listfist.com/list-of-one-piece-vivre-cards","null","Plaaatypus","","","","",""
"1653321016-289","https://listfist.com/list-of-one-piece-vivre-cards","null","Thousand Sunny","(03) March","25","","56.00",""
"1653321016-1025","https://listfist.com/list-of-one-piece-vivre-cards","null","Ham Burger","(07) July","20","","",""
"1653321016-382","https://listfist.com/list-of-one-piece-vivre-cards","null","Take","(08) August","21","","",""
"1653321016-815","https://listfist.com/list-of-one-piece-vivre-cards","null","McGuy","(09) September","3","","",""
"1653321016-313","https://listfist.com/list-of-one-piece-vivre-cards","null","Ririka","(11) November","15","","",""
"1653321016-414","https://listfist.com/list-of-one-piece-vivre-cards","null","Miss Monday","(01) January","24","","",""
"1653321016-378","https://listfist.com/list-of-one-piece-vivre-cards","null","Momoo","(04) April","9","16","36.00","S (O)"
"1653321016-544","https://listfist.com/list-of-one-piece-vivre-cards","null","Marshall D. Teach","(08) August","3","40","3.44","F (B)"
"1653321016-498","https://listfist.com/list-of-one-piece-vivre-cards","null","Miss Father's Day","(06) June","21","","",""
"1653321016-706","https://listfist.com/list-of-one-piece-vivre-cards","null","Penguin","(04) April","25","28","","X (A)"
"1653321016-413","https://listfist.com/list-of-one-piece-vivre-cards","null","Mr. Shimizu","(12) December","11","","",""
"1653321016-794","https://listfist.com/list-of-one-piece-vivre-cards","null","Bellett","","","","",""
"1653321016-510","https://listfist.com/list-of-one-piece-vivre-cards","null","Potsun","","","","",""
"1653321016-1051","https://listfist.com/list-of-one-piece-vivre-cards","null","Harudako","","","","",""
"1653321016-1055","https://listfist.com/list-of-one-piece-vivre-cards","null","Massui","","","","",""
"1653321016-629","https://listfist.com/list-of-one-piece-vivre-cards","null","Kokoro","(10) October","5","72","1.68","S (O)"
"1653321016-520","https://listfist.com/list-of-one-piece-vivre-cards","null","Hewitt","","","","",""
"1653321016-846","https://listfist.com/list-of-one-piece-vivre-cards","null","Sabo","(03) March","20","22","1.87","X (A)"
"1653321016-412","https://listfist.com/list-of-one-piece-vivre-cards","null","Igaram","(12) December","6","50","2.18","X (A)"
"1653321016-628","https://listfist.com/list-of-one-piece-vivre-cards","null","Gonbe","(02) February","8","","",""
"1653321016-325","https://listfist.com/list-of-one-piece-vivre-cards","null","Acrobatic Fuwas","(07) July","13","","",""
"1653321016-615","https://listfist.com/list-of-one-piece-vivre-cards","null","Itomimizu","(01) January","11","","",""
"1653321016-1114","https://listfist.com/list-of-one-piece-vivre-cards","null","Takao","","","","",""
"1653321016-944","https://listfist.com/list-of-one-piece-vivre-cards","null","Ideo","(10) October","10","22","2.25","X (A)"
"1653321016-1048","https://listfist.com/list-of-one-piece-vivre-cards","null","Tsugaru Umi","","","","",""
"1653321016-583","https://listfist.com/list-of-one-piece-vivre-cards","null","Mochi","","","","",""
"1653321016-639","https://listfist.com/list-of-one-piece-vivre-cards","null","Kiwi","(09) September","1","22","1.87","F (B)"
"1653321016-418","https://listfist.com/list-of-one-piece-vivre-cards","null","Henohenounchi","(02) February","19","","",""
"1653321016-592","https://listfist.com/list-of-one-piece-vivre-cards","null","Herb","","","","",""
"1653321016-383","https://listfist.com/list-of-one-piece-vivre-cards","null","Pudding Pudding","(05) May","16","","",""
"1653321016-681","https://listfist.com/list-of-one-piece-vivre-cards","null","Oars","(10) October","4","159","67.00","F (B)"
"1653321016-1012","https://listfist.com/list-of-one-piece-vivre-cards","null","Jorul","(12) December","4","344","21.50","F (B)"
"1653321016-486","https://listfist.com/list-of-one-piece-vivre-cards","null","Bourbon Jr.","(04) April","8","14","1.33","F (B)"
"1653321016-523","https://listfist.com/list-of-one-piece-vivre-cards","null","Terry","","","","",""
"1653321016-315","https://listfist.com/list-of-one-piece-vivre-cards","null","Rokkaku","(06) June","19","","",""
"1653321016-500","https://listfist.com/list-of-one-piece-vivre-cards","null","Mr. Love","","","","",""
"1653321016-893","https://listfist.com/list-of-one-piece-vivre-cards","null","Fukaboshi","(02) February","4","24","6.04","S (O)"
"1653321016-705","https://listfist.com/list-of-one-piece-vivre-cards","null","Trafalgar D. Water Law","(10) October","6","26","1.91","F (B)"
"1653321016-555","https://listfist.com/list-of-one-piece-vivre-cards","null","Pagaya","(08) August","17","54","1.79","F (B)"
"1653321016-860","https://listfist.com/list-of-one-piece-vivre-cards","null","Fishbonen","","","","",""
"1653321016-451","https://listfist.com/list-of-one-piece-vivre-cards","null","Crocodile","(09) September","5","46","2.53","S (O)"
"1653321016-886","https://listfist.com/list-of-one-piece-vivre-cards","null","Andre","(05) May","19","","",""
"1653321016-448","https://listfist.com/list-of-one-piece-vivre-cards","null","Yurikah","","","","",""
"1653321016-842","https://listfist.com/list-of-one-piece-vivre-cards","null","Chadros Higelyges","(02) February","3","45","6.91","S (O)"
"1653321016-572","https://listfist.com/list-of-one-piece-vivre-cards","null","Enel","(05) May","6","39","2.66","S (O)"
"1653321016-1097","https://listfist.com/list-of-one-piece-vivre-cards","null","Queen","(07) July","13","56","6.12","XF (AB)"
"1653321016-830","https://listfist.com/list-of-one-piece-vivre-cards","null","Bizarre","(02) February","3","","",""
"1653321016-856","https://listfist.com/list-of-one-piece-vivre-cards","null","Humandrill","","","","",""
"1653321016-1008","https://listfist.com/list-of-one-piece-vivre-cards","null","Charlotte Daifuku","(11) November","25","48","4.89","X (A)"
"1653321016-798","https://listfist.com/list-of-one-piece-vivre-cards","null","Curiel","(09) September","12","","",""
"1653321016-277","https://listfist.com/list-of-one-piece-vivre-cards","null","Monkey D. Luffy","(05) May","5","19","1.74","F (B)"
"1653321016-726","https://listfist.com/list-of-one-piece-vivre-cards","null","PX-5","","","","6.89",""
"1653321016-871","https://listfist.com/list-of-one-piece-vivre-cards","null","Manjaro","(09) September","9","25","2.02","S (O)"
"1653321016-306","https://listfist.com/list-of-one-piece-vivre-cards","null","Alvida","(03) March","14","27","1.98","S (O)"
"1653321016-934","https://listfist.com/list-of-one-piece-vivre-cards","null","Chinjao","(12) December","12","78","5.20","F (B)"
"1653321016-622","https://listfist.com/list-of-one-piece-vivre-cards","null","George Mach","","","","",""
"1653321016-1103","https://listfist.com/list-of-one-piece-vivre-cards","null","Kakunoshin","","","","",""
"1653321016-627","https://listfist.com/list-of-one-piece-vivre-cards","null","Chimney","(06) June","2","10","1.15","S (O)"
"1653321016-838","https://listfist.com/list-of-one-piece-vivre-cards","null","Avalo Pizarro","(09) September","30","42","5.05","X (A)"
"1653321016-422","https://listfist.com/list-of-one-piece-vivre-cards","null","Dorry","(10) October","2","160","22.60","F (B)"
"1653321016-490","https://listfist.com/list-of-one-piece-vivre-cards","null","Goldfish Princess","","","","",""
"1653321016-1147","https://listfist.com/list-of-one-piece-vivre-cards","null","Sansuke","","","","",""
"1653321016-949","https://listfist.com/list-of-one-piece-vivre-cards","null","Leo","(07) July","24","25","0.23","S (O)"
"1653321016-1076","https://listfist.com/list-of-one-piece-vivre-cards","null","Speed","(12) December","11","24","2.98","X (A)"
"1653321016-329","https://listfist.com/list-of-one-piece-vivre-cards","null","Boodle","(01) January","16","75","1.72","F (B)"
"1653321016-336","https://listfist.com/list-of-one-piece-vivre-cards","null","Ninjin","(02) February","2","11","1.27","X (A)"
"1653321016-514","https://listfist.com/list-of-one-piece-vivre-cards","null","Spector","","","","",""
"1653321016-937","https://listfist.com/list-of-one-piece-vivre-cards","null","Bobby Funk","(02) February","19","33","3.20","X (A)"
"1653321016-725","https://listfist.com/list-of-one-piece-vivre-cards","null","PX-4","","","","6.89",""
"1653321016-502","https://listfist.com/list-of-one-piece-vivre-cards","null","Tomato Gang","","","40","",""
"1653321016-561","https://listfist.com/list-of-one-piece-vivre-cards","null","Hakowan","","","","",""
"1653321016-311","https://listfist.com/list-of-one-piece-vivre-cards","null","Helmeppo","(07) July","16","22","1.79","S (O)"
"1653321016-384","https://listfist.com/list-of-one-piece-vivre-cards","null","Bell-mère","(12) December","3","30","1.86","S (O)"
"1653321016-507","https://listfist.com/list-of-one-piece-vivre-cards","null","Maidy","","","","",""
"1653321016-931","https://listfist.com/list-of-one-piece-vivre-cards","null","Issho","(08) August","10","54","2.70","S (O)"
"1653321016-399","https://listfist.com/list-of-one-piece-vivre-cards","null","Smoker","(03) March","14","36","2.09","XF (AB)"
"1653321016-400","https://listfist.com/list-of-one-piece-vivre-cards","null","Yu","(07) July","19","","",""
"1653321016-738","https://listfist.com/list-of-one-piece-vivre-cards","null","Gloriosa","(02) February","4","","",""
"1653321016-534","https://listfist.com/list-of-one-piece-vivre-cards","null","Mozambia","","","","",""
"1653321016-692","https://listfist.com/list-of-one-piece-vivre-cards","null","Rosward","(06) June","28","55","2.15","XF (AB)"
"1653321016-908","https://listfist.com/list-of-one-piece-vivre-cards","null","Shirahoshi","(04) April","4","16","11.87","X (A)"
"1653321016-766","https://listfist.com/list-of-one-piece-vivre-cards","null","Magellan","(10) October","9","47","4.91","X (A)"
"1653321016-1154","https://listfist.com/list-of-one-piece-vivre-cards","null","Kawamatsu","(06) June","14","41","2.71","F (B)"
"1653321016-1100","https://listfist.com/list-of-one-piece-vivre-cards","null","Hidayu","","","","",""
"1653321016-526","https://listfist.com/list-of-one-piece-vivre-cards","null","Shoujou","(05) May","8","27","3.51","X (A)"
"1653321016-765","https://listfist.com/list-of-one-piece-vivre-cards","null","Blue Gorilla","","","","3.00",""
"1653321016-783","https://listfist.com/list-of-one-piece-vivre-cards","null","Minokoala","(03) March","5","","",""
"1653321016-912","https://listfist.com/list-of-one-piece-vivre-cards","null","Fisher Tiger","(11) November","5","48","5.20","S (O) RH-"
"1653321016-330","https://listfist.com/list-of-one-piece-vivre-cards","null","Hocker","(05) May","17","","",""
"1653321016-714","https://listfist.com/list-of-one-piece-vivre-cards","null","Heat","(12) December","1","","",""
"1653321016-834","https://listfist.com/list-of-one-piece-vivre-cards","null","Reforte","","","","",""
"1653321016-349","https://listfist.com/list-of-one-piece-vivre-cards","null","Johnny","(11) November","12","25","1.86","F (B)"
"1653321016-381","https://listfist.com/list-of-one-piece-vivre-cards","null","Shioyaki","(03) March","27","","",""
"1653321016-975","https://listfist.com/list-of-one-piece-vivre-cards","null","Concelot","(11) November","2","29","2.04","F (B)"
